 ,Limit,vSphere 6.5,vSphere 6.7,vSphere 7.0
,Concurrent vSphere Web Clients (Flex) connections to vCenter Server (Limit is applicable for both linked mode and per VC),180,180,NA
,Maximum mixed vSphere Client (HTML5) + vSphere Web Client simultaneous connections per VC,60 (30 Flex. 30 maximum HTML5),180 (80 Flex 100 maximum HTML5),NA
,,,,
,,,,
vCenter Server:Storage DRS,Virtual disks per datastore cluster,9000,9000,9000
,Datastores per datastore cluster,64,64,64
,Datastore clusters per vCenter,256,256,256
,,,,
,,,,
vCenter Server Maximums - AuthN/AuthZ,Maximum cryptographic hash used for PSC Node certificate,1,3,3
,Maximum RSA Public Key length used for PSC Node certificate,16384,16384,16384
,Maximum latency supported between vSphere client and vCenter Server,NA,NA,100 ms
,Maximum Active Directory or OpenLDAP Groups per User for best performance,1015,1015,1015
,Maximum number of subordinate Certificate Authority servers in the chain within VMware Certificate Authority,6,6,6
,Maximum tolerance for time skew between PSC nodes,5 minutes,5 minutes,5 minutes
,Maximum latency supported between linked vCenter Servers,NA,NA,150 ms
,Maximum PSCs per vSphere Domain,10,10,NA
,"Maximum PSCs per site, behind a load balancer",4,4,NA
,Maximum objects within a vSphere Domain (Users and Groups),1000000,1000000,1000000
,,,,
,,,,
vCenter Server Extensions:vSphere Lifecycle Manager,ESXi host patch remediation per VUM server,232,280,280
,ESXi host upgrade per VUM server,232,280,280
,VMware Tools scan per ESXi host,90,90,90
,VMware Tools upgrade per ESXi host,30,30,30
,Virtual machine hardware scan per VUM server,200,200,200
,Virtual machine hardware upgrade per VUM server,200,200,200
,ESXi host scan per VUM server,232,280,280
, Virtual machine hardware scan per host,90,90,90
,Virtual machine hardware upgrade per host,30,30,30
,VMware Tools scan per VUM server,200,200,200
,VMware Tools upgrade per VUM server,200,200,200
,,,,
,,,,
vCenter Server Extensions:VMware vRealize Orchestrator,Connected vCenter Server systems,20,20,20
,Connected ESXi instances,1280,1280,1280
,Connected virtual machines,35000,35000,35000
,Concurrent running workflows,300,300,300
,,,,
,,,,
VMware vSphere Flash Read Cache,Flash devices per virtual flash resource,8,8,8
,Maximum cache for each virtual disk,400 GB,400 GB,400 GB
,Cumulative cache configured per host (for all virtual disks),2 TB,2 TB,2 TB
,Virtual disk size,16 TB,16 TB,16 TB
,Virtual host swap cache size,4 TB,4 TB,4 TB
,Virtual flash resource per host,1,1,1
,,,,
,,,,
VMware vSAN,vSAN disk groups per host,5,5,5
,Magnetic disks per disk group,7,NA,NA
,SSD disks per disk group,1,1,1
,Number of iSCSI sessions per Node,128,128,128
,Stretched Cluster maximum number of data hosts,NA,NA,"40 (20 per site x 2), Increased from 30 in U2"
,iSCSI IO queue depth per Node,4096,4096,4096
,Number of outstanding writes per iSCSI LUN,128,128,128
,Number of iSCSI LUNs per Cluster,1024,1024,1024
,Number of iSCSI Targets per Cluster,128,128,128
,Number of iSCSI LUNs per Target,256,256,256
,Max iSCSI LUN size,62 TB,62 TB,62 TB
,Spinning disks in all diskgroups per host,35,35,35
,Maximum number of witness hosts in a vSAN Stretched Cluster or 2-Node Direct Connect configuration,NA,1,1
,Components per vSAN host,9000,9000,9000
,Failure to tolerate,3 for VM virtual disk size <= 16 TB,NA,NA
,Maximum number of data hosts in a vSAN 2-Node Direct Connect configuration,NA,2,2
,Percentage of object space reservation,100,100,100
,vSAN networks/physical network fabrics,2,2,2
,In vSAN Stretched Cluster maximum number of data hosts on each site is 15. ,NA,30 (15 on each site x 2),NA
,Virtual machines per host,200,200,200
,Virtual machines per cluster,6000,6400,6400
,Virtual machine virtual disk size,62 TB,62 TB,62 TB
,Disk stripes per object,12,12,12
,Capacity tier maximum devices per diskgroup,7,7,7
,Capacity tier maximum devices,35,35,35
,Number of vSAN hosts in a cluster,64 (Hybrid) 64 (All-Flash),64 (Hybrid) 64 (All-Flash),64 (Hybrid) 64 (All-Flash)
,Number of datastores per cluster,1,1,1
,Cache tier maximum devices per host,5,5,5
,Percentage of flash read cache reservation,100,100,100
,Number of outstanding IOs per iSCSI LUN,256,256,256
,Number of initiators who register PR key for a iSCSI LUN,64,64,64
,,,,
,,,,
,,,,
Virtual Volumes,Configured VPs per VC,NA,NA,128
,Configured VPs per host,128,128,NA
,Maximum configured VVol managed storage arrays per host,64,64,64
,Number of PEs per host,256,256,256
,Storage Container size,2^64,2^64,2^63
,Storage Container per host,256,256,256
,Maximum outstanding PE I/O operations,128,128,NA
,Data Virtual Volume Size,62 TB,62 TB,62 TB
,Number of Virtual Volumes bound to a host,64000,64000,64000
,,,,
,,,,
,,,,
Network I/O Control (NIOC),Max pNIC bandwidth,Approximately 10 Gbits/sec for 10G pNIC,Approximately 10 Gbits/sec for 10G pNIC,Approximately 10 Gbits/sec for 10G pNIC
,Number of resource pools,10000,10000,10000
,Number of uplinks per vds,32,32,32
,Number of uplinks per host,32,32,32
,Number of vNIC per host,5120,5120,5120
,,,,
,,,,
,,,,
Storage Policies,Maximum vSphere tags in virtual machine storage policy,128,128,128
,Maximum number of virtual machine storage policies,1024,1024,256
,Maximum number of VASA providers,1024,1024,1024
,Maximum number of rule sets in virtual machine storage policy,16,16,16
,Maximum capabilities in virtual machine storage policy rule set,64,64,64
,,,,
,,,,
,,,,
Managed Virtual Disks,Maximum managed virtual disks,10000,NA,NA
,Maximum improved virtual disks,NA,10000,10000
